nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
250 100 17 202 202 1 1 250 121 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 131 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 141 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 151 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 161 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 171 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 181 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 191 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 202 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 0 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 9 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 19 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 29 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 39 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 48 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 58 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 68 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 78 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 87 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 97 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 107 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 117 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 126 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 136 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 146 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 156 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 165 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 175 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 185 0 100000 0.1 1 20 lin col uniform
250 100 24 195 195 1 1 250 195 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 0 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 9 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 18 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 27 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 37 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 46 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 55 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 64 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 74 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 83 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 92 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 101 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 111 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 120 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 129 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 138 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 148 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 157 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 166 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 175 0 100000 0.1 1 20 lin col uniform
250 100 34 185 185 1 1 250 185 0 100000 0.1 1 20 lin col uniform
250 100 45 174 174 1 1 250 0 0 100000 0.1 1 20 lin col uniform
250 100 45 174 174 1 1 250 8 0 100000 0.1 1 20 lin col uniform
